p1		p2	
5704	PSMC4	5715	PSMD9
5704	PSMC4	5706	PSMC6
5704	PSMC4	5682	PSMA1
9744	ACAP1	1213	CLTC
9744	ACAP1	382	ARF6
51009	DERL2	27248	ERLEC1
51009	DERL2	6233	RPS27A
51009	DERL2	10299	6-Mar
51009	DERL2	267	AMFR
51009	DERL2	11236	RNF139
51009	DERL2	10956	OS9
51009	DERL2	7314	UBB
51009	DERL2	6400	SEL1L
51009	DERL2	7316	UBC
51009	DERL2	7415	VCP
51009	DERL2	84447	SYVN1
51009	DERL2	7311	UBA52
50508	NOX3	4688	NCF2
50508	NOX3	1535	CYBA
23030	KDM4B	8924	HERC2
23030	KDM4B	10524	KAT5
23030	KDM4B	3014	H2AFX
3385	ICAM3	3683	ITGAL
3385	ICAM3	3681	ITGAD
51412	ACTL6B	6599	SMARCC1
51412	ACTL6B	6598	SMARCB1
51412	ACTL6B	6595	SMARCA2
51412	ACTL6B	6601	SMARCC2
51412	ACTL6B	10419	PRMT5
51412	ACTL6B	6597	SMARCA4
3835	KIF22	1639	DCTN1
3835	KIF22	10540	DCTN2
100271849	MEF2B	1432	MAPK14
100271849	MEF2B	6300	MAPK12
100271849	MEF2B	4618	MYF6
100271849	MEF2B	4617	MYF5
100271849	MEF2B	4654	MYOD1
100271849	MEF2B	4656	MYOG
100271849	MEF2B	6929	TCF3
100271849	MEF2B	6938	TCF12
100271849	MEF2B	5600	MAPK11
100271849	MEF2B	6925	TCF4
7132	TNFRSF1A	330	BIRC3
7132	TNFRSF1A	8737	RIPK1
7132	TNFRSF1A	8772	FADD
